127.0.0.1 - - [02/Jan/2023:06:24:53 +0900] "GET / HTTP/1.1" 200 1854
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:31:08 +0900] "GET /assets/fonts/Rubik/Rubik-Medium.ttf HTTP/1.1" 200 1902
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:31:08 +0900] "GET /assets/fonts/Rubik/Rubik-Regular.ttf HTTP/1.1" 200 1902
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:31:08 +0900] "GET /favicon.ico HTTP/1.1" 200 1902
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:31:51 +0900] "GET /UserLogoutCtrl.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:31:51 +0900] "GET / HTTP/1.1" 200 1902
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:31:51 +0900] "GET /assets/fonts/Rubik/Rubik-Regular.ttf HTTP/1.1" 200 1902
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:31:51 +0900] "GET /assets/fonts/Rubik/Rubik-Medium.ttf HTTP/1.1" 200 1902
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:31:51 +0900] "GET /favicon.ico HTTP/1.1" 200 1902
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:31:57 +0900] "POST /UserLoginCtrl.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:31:57 +0900] "GET /GetMainCtrl.do HTTP/1.1" 200 3232
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:31:57 +0900] "GET /assets/fonts/Rubik/Rubik-Medium.ttf HTTP/1.1" 200 1902
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:31:57 +0900] "GET /assets/fonts/Rubik/Rubik-Regular.ttf HTTP/1.1" 200 1902
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:31:57 +0900] "GET /favicon.ico HTTP/1.1" 200 1902
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:32:10 +0900] "GET /GetAdminCtrl.do HTTP/1.1" 200 8355
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:32:10 +0900] "GET /img/logo.png HTTP/1.1" 404 1018
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:32:10 +0900] "GET /assets/images/logo-mini.svg HTTP/1.1" 200 1902
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:32:10 +0900] "GET /assets/fonts/Rubik/Rubik-Regular.ttf HTTP/1.1" 200 1902
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:32:10 +0900] "GET /assets/fonts/Rubik/Rubik-Medium.ttf HTTP/1.1" 200 1902
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:32:10 +0900] "GET /assets/vendors/fonts/materialdesignicons-webfont.woff2?v=3.9.97 HTTP/1.1" 200 1902
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:32:10 +0900] "GET /assets/vendors/fonts/materialdesignicons-webfont.woff?v=3.9.97 HTTP/1.1" 200 1902
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:32:10 +0900] "GET /assets/vendors/fonts/materialdesignicons-webfont.ttf?v=3.9.97 HTTP/1.1" 200 1902
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:32:10 +0900] "GET /favicon.ico HTTP/1.1" 200 1902
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:32:13 +0900] "GET /index.html HTTP/1.1" 200 1902
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:32:13 +0900] "GET /assets/fonts/Rubik/Rubik-Medium.ttf HTTP/1.1" 200 1902
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:32:13 +0900] "GET /assets/fonts/Rubik/Rubik-Regular.ttf HTTP/1.1" 200 1902
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:32:13 +0900] "GET /favicon.ico HTTP/1.1" 200 1902
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:32:14 +0900] "GET /favicon.ico HTTP/1.1" 200 1902
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:32:16 +0900] "GET /index.html HTTP/1.1" 200 1902
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:32:16 +0900] "GET /assets/fonts/Rubik/Rubik-Medium.ttf HTTP/1.1" 200 1902
